Item Code,Name,Icon URL,Thumbnail URL
"DUN CHAR128","X Initial Charm","https://drive.google.com/file/d/1GmA6l2pyVY_rmdDIFRXwYSclwOQLQ3wY/view?usp=drive_link","https://drive.google.com/file/d/1GmA6l2pyVY_rmdDIFRXwYSclwOQLQ3wY/view?usp=drive_link"
"DUN CHAR129","E Initial Charm","https://drive.google.com/file/d/10z8B-T-jhAtIzknj56uJ9xZvVsC5qqAK/view?usp=drive_link","https://drive.google.com/file/d/10z8B-T-jhAtIzknj56uJ9xZvVsC5qqAK/view?usp=drive_link"
"DUN CHAR13","Classic Football Charm","https://drive.google.com/drive/folders/1rDCnRnMcROFCnIL8RpKb_va-wuIqEd_k?usp=drive_link","https://drive.google.com/drive/folders/1rDCnRnMcROFCnIL8RpKb_va-wuIqEd_k?usp=drive_link"
"DUN CHAR130","U Initial Charm","https://drive.google.com/file/d/1Xt22lfePuKRJZjl1IN42Xo2h6qRRUEup/view?usp=drive_link","https://drive.google.com/file/d/1Xt22lfePuKRJZjl1IN42Xo2h6qRRUEup/view?usp=drive_link"
"DUN CHAR131","T Initial Charm","https://drive.google.com/file/d/1Cg_5Ty8Ow2AtqUw-LOXwgblgU251y_46/view?usp=drive_link","https://drive.google.com/file/d/1Cg_5Ty8Ow2AtqUw-LOXwgblgU251y_46/view?usp=drive_link"
"DUN CHAR132","O Initial Charm","https://drive.google.com/file/d/1lwOq1btnV-l3im0gF5_jbURHUOVlViPt/view?usp=drive_link","https://drive.google.com/file/d/1lwOq1btnV-l3im0gF5_jbURHUOVlViPt/view?usp=drive_link"
"DUN CHAR133","N Initial Charm","https://drive.google.com/file/d/1ICjyR-HWZYinCXEpuSGWdByl-gFDeD-f/view?usp=drive_link","https://drive.google.com/file/d/1ICjyR-HWZYinCXEpuSGWdByl-gFDeD-f/view?usp=drive_link"
"DUN CHAR134","C Initial Charm","https://drive.google.com/file/d/1ICjyR-HWZYinCXEpuSGWdByl-gFDeD-f/view?usp=drive_link","https://drive.google.com/file/d/1ICjyR-HWZYinCXEpuSGWdByl-gFDeD-f/view?usp=drive_link"
"DUN CHAR135","D Initial Charm","https://drive.google.com/file/d/1pPK-2F7v3wRwTPAVt1Eymo4Qeffym5Ku/view?usp=drive_link","https://drive.google.com/file/d/1pPK-2F7v3wRwTPAVt1Eymo4Qeffym5Ku/view?usp=drive_link"
"DUN CHAR136","A Initial Charm","https://drive.google.com/file/d/1PHDZFxBl55kzQYMdxOumBV7KttPMObn6/view?usp=drive_link","https://drive.google.com/file/d/1PHDZFxBl55kzQYMdxOumBV7KttPMObn6/view?usp=drive_link"
"DUN CHAR137","B Initial Charm","https://drive.google.com/file/d/1lAJHYISSgQdzwj1uK4M8maI5mBrMLexo/view?usp=drive_link","https://drive.google.com/file/d/1lAJHYISSgQdzwj1uK4M8maI5mBrMLexo/view?usp=drive_link"
